sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and double the size of original dataset lambda = 14.0,random_forest,0.6286 ± 0.0072,0.7167 ± 0.0174,0.6696 ± 0.0049,0.6050 ± 0.0059,0.6050 ± 0.0059,0.0455 ± 0.0341,0.9311 ± 0.0507,0.1142 ± 0.0376
HC with fairness constraints and double the size of original dataset lambda = 14.0,xgboost,0.6274 ± 0.0046,0.7357 ± 0.0081,0.6772 ± 0.0059,0.6066 ± 0.0061,0.6066 ± 0.0061,0.0519 ± 0.0327,0.9244 ± 0.0457,0.1146 ± 0.0355
HC with fairness constraints and double the size of original dataset lambda = 14.0,mlp,0.6214 ± 0.0088,0.7074 ± 0.0439,0.6607 ± 0.0154,0.5954 ± 0.0048,0.5954 ± 0.0048,0.0313 ± 0.0293,0.9485 ± 0.0514,0.0891 ± 0.0276
HC with fairness constraints and equal number of class 1 and class 0 lambda = 14.0,logistic_regression,0.6561 ± 0.0033,0.6887 ± 0.0251,0.6718 ± 0.0117,0.6285 ± 0.0049,0.6285 ± 0.0049,0.0573 ± 0.0415,0.9080 ± 0.0611,0.0979 ± 0.0493
HC with fairness constraints and equal number of class 1 and class 0 lambda = 14.0,random_forest,0.6056 ± 0.0069,0.6298 ± 0.0186,0.6173 ± 0.0110,0.5697 ± 0.0083,0.5697 ± 0.0083,0.0389 ± 0.0196,0.9338 ± 0.0325,0.0840 ± 0.0277
HC with fairness constraints and equal number of class 1 and class 0 lambda = 14.0,xgboost,0.6203 ± 0.0074,0.6452 ± 0.0334,0.6321 ± 0.0171,0.5865 ± 0.0091,0.5865 ± 0.0091,0.0629 ± 0.0541,0.8976 ± 0.0875,0.1181 ± 0.0541
HC with fairness constraints and equal number of class 1 and class 0 lambda = 14.0,mlp,0.6026 ± 0.0130,0.6384 ± 0.0572,0.6182 ± 0.0217,0.5662 ± 0.0098,0.5662 ± 0.0098,0.0482 ± 0.0236,0.9200 ± 0.0403,0.0825 ± 0.0332
HC with fairness constraints and equal number of protected attribute lambda = 14.0,logistic_regression,0.6561 ± 0.0033,0.6887 ± 0.0251,0.6718 ± 0.0117,0.6285 ± 0.0049,0.6285 ± 0.0049,0.0573 ± 0.0415,0.9080 ± 0.0611,0.0979 ± 0.0493
HC with fairness constraints and equal number of protected attribute lambda = 14.0,random_forest,0.6056 ± 0.0069,0.6298 ± 0.0186,0.6173 ± 0.0110,0.5697 ± 0.0083,0.5697 ± 0.0083,0.0389 ± 0.0196,0.9338 ± 0.0325,0.0840 ± 0.0277
HC with fairness constraints and equal number of protected attribute lambda = 14.0,xgboost,0.6203 ± 0.0074,0.6452 ± 0.0334,0.6321 ± 0.0171,0.5865 ± 0.0091,0.5865 ± 0.0091,0.0629 ± 0.0541,0.8976 ± 0.0875,0.1181 ± 0.0541
HC with fairness constraints and equal number of protected attribute lambda = 14.0,mlp,0.6083 ± 0.0062,0.6345 ± 0.0772,0.6187 ± 0.0355,0.5726 ± 0.0084,0.5726 ± 0.0084,0.0492 ± 0.0472,0.9165 ± 0.0808,0.0888 ± 0.0352
HC with fairness constraints and same size as original dataset lambda = 15.0,logistic_regression,0.5973 ± 0.0071,0.5116 ± 0.0262,0.5508 ± 0.0165,0.5496 ± 0.0071,0.5496 ± 0.0071,0.2257 ± 0.0317,0.6330 ± 0.0418,0.2408 ± 0.0252
HC with fairness constraints and same size as original dataset lambda = 15.0,random_forest,0.5743 ± 0.0083,0.6042 ± 0.0304,0.5886 ± 0.0174,0.5345 ± 0.0104,0.5345 ± 0.0104,0.0297 ± 0.0182,0.9490 ± 0.0323,0.0779 ± 0.0243
HC with fairness constraints and same size as original dataset lambda = 15.0,xgboost,0.5717 ± 0.0074,0.6030 ± 0.0264,0.5867 ± 0.0157,0.5316 ± 0.0091,0.5316 ± 0.0091,0.1309 ± 0.0343,0.8038 ± 0.0417,0.1366 ± 0.0298
HC with fairness constraints and same size as original dataset lambda = 15.0,mlp,0.5674 ± 0.0100,0.6074 ± 0.1067,0.5821 ± 0.0512,0.5267 ± 0.0113,0.5267 ± 0.0113,0.0520 ± 0.0290,0.9159 ± 0.0439,0.0927 ± 0.0405
HC with fairness constraints and double the size of original dataset lambda = 15.0,logistic_regression,0.6183 ± 0.0090,0.6943 ± 0.0170,0.6540 ± 0.0100,0.5908 ± 0.0106,0.5908 ± 0.0106,0.2227 ± 0.0223,0.7061 ± 0.0240,0.2789 ± 0.0265
HC with fairness constraints and double the size of original dataset lambda = 15.0,random_forest,0.5957 ± 0.0030,0.7235 ± 0.0098,0.6534 ± 0.0028,0.5682 ± 0.0030,0.5682 ± 0.0030,0.0706 ± 0.0150,0.9003 ± 0.0204,0.1236 ± 0.0171
HC with fairness constraints and double the size of original dataset lambda = 15.0,xgboost,0.5994 ± 0.0067,0.7970 ± 0.0263,0.6841 ± 0.0139,0.5802 ± 0.0115,0.5802 ± 0.0115,0.1209 ± 0.0262,0.8495 ± 0.0321,0.1922 ± 0.0260
HC with fairness constraints and double the size of original dataset lambda = 15.0,mlp,0.5865 ± 0.0046,0.7551 ± 0.0728,0.6585 ± 0.0261,0.5588 ± 0.0054,0.5588 ± 0.0054,0.0674 ± 0.0391,0.9114 ± 0.0493,0.1246 ± 0.0488
HC with fairness constraints and equal number of class 1 and class 0 lambda = 15.0,logistic_regression,0.6380 ± 0.0050,0.5122 ± 0.0308,0.5678 ± 0.0198,0.5824 ± 0.0079,0.5824 ± 0.0079,0.1608 ± 0.0212,0.7043 ± 0.0250,0.1564 ± 0.0276
HC with fairness constraints and equal number of class 1 and class 0 lambda = 15.0,random_forest,0.5799 ± 0.0066,0.6256 ± 0.0104,0.6018 ± 0.0071,0.5418 ± 0.0078,0.5418 ± 0.0078,0.1070 ± 0.0450,0.8393 ± 0.0617,0.1404 ± 0.0454
HC with fairness constraints and equal number of class 1 and class 0 lambda = 15.0,xgboost,0.5855 ± 0.0062,0.6619 ± 0.0259,0.6212 ± 0.0131,0.5509 ± 0.0080,0.5509 ± 0.0080,0.1367 ± 0.0189,0.8062 ± 0.0240,0.1578 ± 0.0170
HC with fairness constraints and equal number of class 1 and class 0 lambda = 15.0,mlp,0.5719 ± 0.0105,0.6208 ± 0.0899,0.5924 ± 0.0432,0.5328 ± 0.0142,0.5328 ± 0.0142,0.0803 ± 0.0223,0.8701 ± 0.0488,0.1055 ± 0.0308
HC with fairness constraints and equal number of protected attribute lambda = 15.0,logistic_regression,0.6380 ± 0.0050,0.5122 ± 0.0308,0.5678 ± 0.0198,0.5824 ± 0.0079,0.5824 ± 0.0079,0.1608 ± 0.0212,0.7043 ± 0.0250,0.1564 ± 0.0276
HC with fairness constraints and equal number of protected attribute lambda = 15.0,random_forest,0.5799 ± 0.0066,0.6256 ± 0.0104,0.6018 ± 0.0071,0.5418 ± 0.0078,0.5418 ± 0.0078,0.1070 ± 0.0450,0.8393 ± 0.0617,0.1404 ± 0.0454
HC with fairness constraints and equal number of protected attribute lambda = 15.0,xgboost,0.5855 ± 0.0062,0.6619 ± 0.0259,0.6212 ± 0.0131,0.5509 ± 0.0080,0.5509 ± 0.0080,0.1367 ± 0.0189,0.8062 ± 0.0240,0.1578 ± 0.0170
HC with fairness constraints and equal number of protected attribute lambda = 15.0,mlp,0.5753 ± 0.0060,0.6548 ± 0.0186,0.6124 ± 0.0102,0.5384 ± 0.0078,0.5384 ± 0.0078,0.1013 ± 0.0409,0.8546 ± 0.0529,0.1270 ± 0.0224
HC with fairness constraints and same size as original dataset lambda = 16.0,logistic_regression,0.6489 ± 0.0043,0.7786 ± 0.0188,0.7077 ± 0.0065,0.6373 ± 0.0037,0.6373 ± 0.0037,0.1114 ± 0.0215,0.8476 ± 0.0242,0.1591 ± 0.0240
HC with fairness constraints and same size as original dataset lambda = 16.0,random_forest,0.6045 ± 0.0059,0.6848 ± 0.0235,0.6420 ± 0.0126,0.5746 ± 0.0085,0.5746 ± 0.0085,0.0261 ± 0.0084,0.9586 ± 0.0133,0.0880 ± 0.0142
HC with fairness constraints and same size as original dataset lambda = 16.0,xgboost,0.6282 ± 0.0084,0.7357 ± 0.0072,0.6777 ± 0.0058,0.6074 ± 0.0094,0.6074 ± 0.0094,0.0513 ± 0.0171,0.9238 ± 0.0243,0.1032 ± 0.0241
HC with fairness constraints and same size as original dataset lambda = 16.0,mlp,0.5972 ± 0.0102,0.6774 ± 0.0507,0.6335 ± 0.0183,0.5647 ± 0.0076,0.5647 ± 0.0076,0.0326 ± 0.0249,0.9467 ± 0.0421,0.1060 ± 0.0239
HC with fairness constraints and double the size of original dataset lambda = 16.0,logistic_regression,0.6637 ± 0.0008,0.6926 ± 0.0033,0.6778 ± 0.0014,0.6365 ± 0.0007,0.6365 ± 0.0007,0.1016 ± 0.0050,0.8399 ± 0.0068,0.1351 ± 0.0071
HC with fairness constraints and double the size of original dataset lambda = 16.0,random_forest,0.6293 ± 0.0090,0.6810 ± 0.0132,0.6541 ± 0.0095,0.6006 ± 0.0104,0.6006 ± 0.0104,0.0778 ± 0.0266,0.8795 ± 0.0378,0.1172 ± 0.0300
HC with fairness constraints and double the size of original dataset lambda = 16.0,xgboost,0.6465 ± 0.0029,0.6976 ± 0.0079,0.6710 ± 0.0037,0.6207 ± 0.0029,0.6207 ± 0.0029,0.0910 ± 0.0079,0.8595 ± 0.0094,0.1575 ± 0.0062
HC with fairness constraints and double the size of original dataset lambda = 16.0,mlp,0.6209 ± 0.0091,0.7036 ± 0.0579,0.6583 ± 0.0232,0.5943 ± 0.0088,0.5943 ± 0.0088,0.0835 ± 0.0211,0.8763 ± 0.0248,0.1247 ± 0.0169
HC with fairness constraints and equal number of class 1 and class 0 lambda = 16.0,logistic_regression,0.6640 ± 0.0036,0.6839 ± 0.0012,0.6738 ± 0.0018,0.6350 ± 0.0033,0.6350 ± 0.0033,0.1021 ± 0.0121,0.8375 ± 0.0176,0.1398 ± 0.0169
HC with fairness constraints and equal number of class 1 and class 0 lambda = 16.0,random_forest,0.6275 ± 0.0078,0.6101 ± 0.0235,0.6186 ± 0.0153,0.5887 ± 0.0102,0.5887 ± 0.0102,0.0662 ± 0.0485,0.8876 ± 0.0806,0.0787 ± 0.0383
HC with fairness constraints and equal number of class 1 and class 0 lambda = 16.0,xgboost,0.6486 ± 0.0067,0.6185 ± 0.0231,0.6330 ± 0.0150,0.6090 ± 0.0096,0.6090 ± 0.0096,0.0842 ± 0.0405,0.8559 ± 0.0645,0.0821 ± 0.0503
HC with fairness constraints and equal number of class 1 and class 0 lambda = 16.0,mlp,0.6261 ± 0.0121,0.5821 ± 0.0841,0.5996 ± 0.0438,0.5822 ± 0.0109,0.5822 ± 0.0109,0.0756 ± 0.0391,0.8637 ± 0.0748,0.0929 ± 0.0422
HC with fairness constraints and equal number of protected attribute lambda = 16.0,logistic_regression,0.6640 ± 0.0036,0.6839 ± 0.0012,0.6738 ± 0.0018,0.6350 ± 0.0033,0.6350 ± 0.0033,0.1021 ± 0.0121,0.8375 ± 0.0176,0.1398 ± 0.0169
HC with fairness constraints and equal number of protected attribute lambda = 16.0,random_forest,0.6275 ± 0.0078,0.6101 ± 0.0235,0.6186 ± 0.0153,0.5887 ± 0.0102,0.5887 ± 0.0102,0.0662 ± 0.0485,0.8876 ± 0.0806,0.0787 ± 0.0383
HC with fairness constraints and equal number of protected attribute lambda = 16.0,xgboost,0.6486 ± 0.0067,0.6185 ± 0.0231,0.6330 ± 0.0150,0.6090 ± 0.0096,0.6090 ± 0.0096,0.0842 ± 0.0405,0.8559 ± 0.0645,0.0821 ± 0.0503
HC with fairness constraints and equal number of protected attribute lambda = 16.0,mlp,0.6313 ± 0.0114,0.6036 ± 0.0407,0.6162 ± 0.0192,0.5906 ± 0.0095,0.5906 ± 0.0095,0.0750 ± 0.0380,0.8692 ± 0.0628,0.0788 ± 0.0272
HC with fairness constraints and same size as original dataset lambda = 17.0,logistic_regression,0.6670 ± 0.0042,0.7417 ± 0.0186,0.7022 ± 0.0063,0.6493 ± 0.0021,0.6493 ± 0.0021,0.1469 ± 0.0249,0.7915 ± 0.0279,0.2323 ± 0.0283
HC with fairness constraints and same size as original dataset lambda = 17.0,random_forest,0.6504 ± 0.0049,0.7196 ± 0.0118,0.6832 ± 0.0067,0.6285 ± 0.0060,0.6285 ± 0.0060,0.1338 ± 0.0336,0.8075 ± 0.0411,0.2095 ± 0.0180
HC with fairness constraints and same size as original dataset lambda = 17.0,xgboost,0.6560 ± 0.0059,0.7310 ± 0.0122,0.6914 ± 0.0061,0.6363 ± 0.0062,0.6363 ± 0.0062,0.1295 ± 0.0310,0.8139 ± 0.0382,0.2258 ± 0.0229
HC with fairness constraints and same size as original dataset lambda = 17.0,mlp,0.6413 ± 0.0102,0.7083 ± 0.0593,0.6715 ± 0.0222,0.6163 ± 0.0027,0.6163 ± 0.0027,0.1069 ± 0.0515,0.8459 ± 0.0710,0.1602 ± 0.0590
HC with fairness constraints and double the size of original dataset lambda = 17.0,logistic_regression,0.6812 ± 0.0015,0.7182 ± 0.0094,0.6992 ± 0.0049,0.6582 ± 0.0030,0.6582 ± 0.0030,0.1462 ± 0.0091,0.7818 ± 0.0095,0.2335 ± 0.0063
HC with fairness constraints and double the size of original dataset lambda = 17.0,random_forest,0.6624 ± 0.0064,0.7208 ± 0.0111,0.6903 ± 0.0046,0.6407 ± 0.0055,0.6407 ± 0.0055,0.0876 ± 0.0281,0.8667 ± 0.0381,0.1542 ± 0.0478
HC with fairness constraints and double the size of original dataset lambda = 17.0,xgboost,0.6665 ± 0.0054,0.7310 ± 0.0093,0.6972 ± 0.0070,0.6468 ± 0.0071,0.6468 ± 0.0071,0.1149 ± 0.0158,0.8295 ± 0.0199,0.1912 ± 0.0286
HC with fairness constraints and double the size of original dataset lambda = 17.0,mlp,0.6528 ± 0.0064,0.7342 ± 0.0335,0.6906 ± 0.0120,0.6333 ± 0.0037,0.6333 ± 0.0037,0.0942 ± 0.0296,0.8605 ± 0.0401,0.1686 ± 0.0415
HC with fairness constraints and equal number of class 1 and class 0 lambda = 17.0,logistic_regression,0.6846 ± 0.0019,0.6771 ± 0.0088,0.6808 ± 0.0044,0.6521 ± 0.0023,0.6521 ± 0.0023,0.1235 ± 0.0071,0.8005 ± 0.0095,0.2186 ± 0.0175
HC with fairness constraints and equal number of class 1 and class 0 lambda = 17.0,random_forest,0.6506 ± 0.0043,0.6857 ± 0.0250,0.6675 ± 0.0126,0.6228 ± 0.0070,0.6228 ± 0.0070,0.0865 ± 0.0366,0.8637 ± 0.0556,0.1260 ± 0.0475
HC with fairness constraints and equal number of class 1 and class 0 lambda = 17.0,xgboost,0.6656 ± 0.0051,0.7167 ± 0.0215,0.6900 ± 0.0098,0.6430 ± 0.0059,0.6430 ± 0.0059,0.1173 ± 0.0251,0.8230 ± 0.0379,0.1686 ± 0.0315
HC with fairness constraints and equal number of class 1 and class 0 lambda = 17.0,mlp,0.6501 ± 0.0140,0.6616 ± 0.0461,0.6548 ± 0.0200,0.6173 ± 0.0121,0.6173 ± 0.0121,0.0915 ± 0.0504,0.8545 ± 0.0721,0.1109 ± 0.0732
HC with fairness constraints and equal number of protected attribute lambda = 17.0,logistic_regression,0.6846 ± 0.0019,0.6771 ± 0.0088,0.6808 ± 0.0044,0.6521 ± 0.0023,0.6521 ± 0.0023,0.1235 ± 0.0071,0.8005 ± 0.0095,0.2186 ± 0.0175
HC with fairness constraints and equal number of protected attribute lambda = 17.0,random_forest,0.6506 ± 0.0043,0.6857 ± 0.0250,0.6675 ± 0.0126,0.6228 ± 0.0070,0.6228 ± 0.0070,0.0865 ± 0.0366,0.8637 ± 0.0556,0.1260 ± 0.0475
HC with fairness constraints and equal number of protected attribute lambda = 17.0,xgboost,0.6656 ± 0.0051,0.7167 ± 0.0215,0.6900 ± 0.0098,0.6430 ± 0.0059,0.6430 ± 0.0059,0.1173 ± 0.0251,0.8230 ± 0.0379,0.1686 ± 0.0315
HC with fairness constraints and equal number of protected attribute lambda = 17.0,mlp,0.6433 ± 0.0051,0.6783 ± 0.0290,0.6599 ± 0.0116,0.6140 ± 0.0030,0.6140 ± 0.0030,0.1057 ± 0.0381,0.8369 ± 0.0563,0.1220 ± 0.0291
HC with fairness constraints and same size as original dataset lambda = 18.0,logistic_regression,0.6532 ± 0.0022,0.8027 ± 0.0114,0.7202 ± 0.0053,0.6465 ± 0.0038,0.6465 ± 0.0038,0.1329 ± 0.0134,0.8243 ± 0.0158,0.1782 ± 0.0083
HC with fairness constraints and same size as original dataset lambda = 18.0,random_forest,0.6422 ± 0.0087,0.7348 ± 0.0164,0.6853 ± 0.0100,0.6226 ± 0.0105,0.6226 ± 0.0105,0.1550 ± 0.0223,0.7862 ± 0.0291,0.1743 ± 0.0443
HC with fairness constraints and same size as original dataset lambda = 18.0,xgboost,0.6416 ± 0.0038,0.7753 ± 0.0071,0.7021 ± 0.0037,0.6288 ± 0.0044,0.6288 ± 0.0044,0.1215 ± 0.0195,0.8354 ± 0.0245,0.1393 ± 0.0277
HC with fairness constraints and same size as original dataset lambda = 18.0,mlp,0.6439 ± 0.0122,0.7068 ± 0.0272,0.6734 ± 0.0084,0.6191 ± 0.0090,0.6191 ± 0.0090,0.1645 ± 0.0451,0.7666 ± 0.0641,0.1907 ± 0.0363
HC with fairness constraints and double the size of original dataset lambda = 18.0,logistic_regression,0.6511 ± 0.0048,0.7643 ± 0.0248,0.7029 ± 0.0079,0.6371 ± 0.0025,0.6371 ± 0.0025,0.1116 ± 0.0197,0.8429 ± 0.0291,0.1840 ± 0.0175
HC with fairness constraints and double the size of original dataset lambda = 18.0,random_forest,0.6374 ± 0.0026,0.7107 ± 0.0339,0.6716 ± 0.0146,0.6135 ± 0.0050,0.6135 ± 0.0050,0.0431 ± 0.0216,0.9327 ± 0.0317,0.1024 ± 0.0199
HC with fairness constraints and double the size of original dataset lambda = 18.0,xgboost,0.6460 ± 0.0042,0.7384 ± 0.0290,0.6888 ± 0.0120,0.6272 ± 0.0056,0.6272 ± 0.0056,0.0547 ± 0.0266,0.9181 ± 0.0384,0.1231 ± 0.0203
HC with fairness constraints and double the size of original dataset lambda = 18.0,mlp,0.6300 ± 0.0064,0.7119 ± 0.0337,0.6680 ± 0.0131,0.6058 ± 0.0061,0.6058 ± 0.0061,0.0335 ± 0.0287,0.9486 ± 0.0444,0.1018 ± 0.0259
HC with fairness constraints and equal number of class 1 and class 0 lambda = 18.0,logistic_regression,0.6688 ± 0.0037,0.6914 ± 0.0151,0.6798 ± 0.0057,0.6409 ± 0.0017,0.6409 ± 0.0017,0.1452 ± 0.0208,0.7800 ± 0.0241,0.2020 ± 0.0313
HC with fairness constraints and equal number of class 1 and class 0 lambda = 18.0,random_forest,0.6410 ± 0.0065,0.6676 ± 0.0133,0.6539 ± 0.0043,0.6101 ± 0.0048,0.6101 ± 0.0048,0.0257 ± 0.0202,0.9561 ± 0.0341,0.0529 ± 0.0271
HC with fairness constraints and equal number of class 1 and class 0 lambda = 18.0,xgboost,0.6508 ± 0.0083,0.6875 ± 0.0183,0.6685 ± 0.0089,0.6231 ± 0.0082,0.6231 ± 0.0082,0.0709 ± 0.0448,0.8879 ± 0.0687,0.0772 ± 0.0328
HC with fairness constraints and equal number of class 1 and class 0 lambda = 18.0,mlp,0.6418 ± 0.0090,0.6521 ± 0.0328,0.6464 ± 0.0158,0.6082 ± 0.0093,0.6082 ± 0.0093,0.0556 ± 0.0401,0.9054 ± 0.0634,0.0788 ± 0.0468
HC with fairness constraints and equal number of protected attribute lambda = 18.0,logistic_regression,0.6688 ± 0.0037,0.6914 ± 0.0151,0.6798 ± 0.0057,0.6409 ± 0.0017,0.6409 ± 0.0017,0.1452 ± 0.0208,0.7800 ± 0.0241,0.2020 ± 0.0313
HC with fairness constraints and equal number of protected attribute lambda = 18.0,random_forest,0.6410 ± 0.0065,0.6676 ± 0.0133,0.6539 ± 0.0043,0.6101 ± 0.0048,0.6101 ± 0.0048,0.0257 ± 0.0202,0.9561 ± 0.0341,0.0529 ± 0.0271
HC with fairness constraints and equal number of protected attribute lambda = 18.0,xgboost,0.6508 ± 0.0083,0.6875 ± 0.0183,0.6685 ± 0.0089,0.6231 ± 0.0082,0.6231 ± 0.0082,0.0709 ± 0.0448,0.8879 ± 0.0687,0.0772 ± 0.0328
HC with fairness constraints and equal number of protected attribute lambda = 18.0,mlp,0.6363 ± 0.0051,0.7065 ± 0.0657,0.6678 ± 0.0280,0.6113 ± 0.0057,0.6113 ± 0.0057,0.0508 ± 0.0400,0.9218 ± 0.0595,0.0680 ± 0.0282
HC with fairness constraints and same size as original dataset lambda = 19.0,logistic_regression,0.6490 ± 0.0056,0.7068 ± 0.0281,0.6763 ± 0.0097,0.6246 ± 0.0011,0.6246 ± 0.0011,0.0417 ± 0.0217,0.9340 ± 0.0316,0.0999 ± 0.0316
HC with fairness constraints and same size as original dataset lambda = 19.0,random_forest,0.6122 ± 0.0070,0.6845 ± 0.0134,0.6462 ± 0.0048,0.5828 ± 0.0068,0.5828 ± 0.0068,0.0448 ± 0.0269,0.9308 ± 0.0398,0.0860 ± 0.0142
HC with fairness constraints and same size as original dataset lambda = 19.0,xgboost,0.6268 ± 0.0044,0.6955 ± 0.0222,0.6593 ± 0.0113,0.6003 ± 0.0069,0.6003 ± 0.0069,0.0457 ± 0.0278,0.9284 ± 0.0429,0.0723 ± 0.0239
HC with fairness constraints and same size as original dataset lambda = 19.0,mlp,0.6118 ± 0.0042,0.6381 ± 0.0396,0.6239 ± 0.0168,0.5767 ± 0.0023,0.5767 ± 0.0023,0.0623 ± 0.0557,0.8994 ± 0.0873,0.1064 ± 0.0493
HC with fairness constraints and double the size of original dataset lambda = 19.0,logistic_regression,0.6471 ± 0.0007,0.8033 ± 0.0036,0.7168 ± 0.0017,0.6397 ± 0.0013,0.6397 ± 0.0013,0.1082 ± 0.0008,0.8551 ± 0.0007,0.1681 ± 0.0025
HC with fairness constraints and double the size of original dataset lambda = 19.0,random_forest,0.6131 ± 0.0063,0.7345 ± 0.0080,0.6683 ± 0.0044,0.5900 ± 0.0072,0.5900 ± 0.0072,0.0459 ± 0.0248,0.9331 ± 0.0359,0.0936 ± 0.0120
HC with fairness constraints and double the size of original dataset lambda = 19.0,xgboost,0.6247 ± 0.0074,0.7625 ± 0.0194,0.6867 ± 0.0119,0.6074 ± 0.0111,0.6074 ± 0.0111,0.0635 ± 0.0151,0.9102 ± 0.0207,0.1154 ± 0.0230
HC with fairness constraints and double the size of original dataset lambda = 19.0,mlp,0.6076 ± 0.0064,0.7238 ± 0.0154,0.6605 ± 0.0081,0.5824 ± 0.0080,0.5824 ± 0.0080,0.0451 ± 0.0395,0.9356 ± 0.0533,0.0923 ± 0.0483
HC with fairness constraints and equal number of class 1 and class 0 lambda = 19.0,logistic_regression,0.6564 ± 0.0076,0.7119 ± 0.0316,0.6825 ± 0.0115,0.6328 ± 0.0042,0.6328 ± 0.0042,0.0340 ± 0.0268,0.9442 ± 0.0440,0.1043 ± 0.0311
HC with fairness constraints and equal number of class 1 and class 0 lambda = 19.0,random_forest,0.6276 ± 0.0060,0.6854 ± 0.0096,0.6552 ± 0.0057,0.5995 ± 0.0065,0.5995 ± 0.0065,0.0264 ± 0.0104,0.9570 ± 0.0165,0.0925 ± 0.0102
HC with fairness constraints and equal number of class 1 and class 0 lambda = 19.0,xgboost,0.6383 ± 0.0068,0.7018 ± 0.0113,0.6684 ± 0.0053,0.6130 ± 0.0067,0.6130 ± 0.0067,0.0471 ± 0.0327,0.9268 ± 0.0491,0.1209 ± 0.0376
HC with fairness constraints and equal number of class 1 and class 0 lambda = 19.0,mlp,0.6276 ± 0.0124,0.6164 ± 0.0568,0.6203 ± 0.0273,0.5888 ± 0.0105,0.5888 ± 0.0105,0.0373 ± 0.0310,0.9308 ± 0.0622,0.0806 ± 0.0365
HC with fairness constraints and equal number of protected attribute lambda = 19.0,logistic_regression,0.6564 ± 0.0076,0.7119 ± 0.0316,0.6825 ± 0.0115,0.6328 ± 0.0042,0.6328 ± 0.0042,0.0340 ± 0.0268,0.9442 ± 0.0440,0.1043 ± 0.0311
HC with fairness constraints and equal number of protected attribute lambda = 19.0,random_forest,0.6276 ± 0.0060,0.6854 ± 0.0096,0.6552 ± 0.0057,0.5995 ± 0.0065,0.5995 ± 0.0065,0.0264 ± 0.0104,0.9570 ± 0.0165,0.0925 ± 0.0102
HC with fairness constraints and equal number of protected attribute lambda = 19.0,xgboost,0.6383 ± 0.0068,0.7018 ± 0.0113,0.6684 ± 0.0053,0.6130 ± 0.0067,0.6130 ± 0.0067,0.0471 ± 0.0327,0.9268 ± 0.0491,0.1209 ± 0.0376
HC with fairness constraints and equal number of protected attribute lambda = 19.0,mlp,0.6198 ± 0.0101,0.6765 ± 0.0545,0.6455 ± 0.0205,0.5893 ± 0.0069,0.5893 ± 0.0069,0.0560 ± 0.0313,0.9095 ± 0.0544,0.0964 ± 0.0209
HC with fairness constraints and same size as original dataset lambda = 2.0,logistic_regression,0.6581 ± 0.0016,0.7554 ± 0.0105,0.7033 ± 0.0037,0.6430 ± 0.0005,0.6430 ± 0.0005,0.1363 ± 0.0103,0.8091 ± 0.0132,0.2118 ± 0.0164
HC with fairness constraints and same size as original dataset lambda = 2.0,random_forest,0.6297 ± 0.0074,0.7818 ± 0.0166,0.6975 ± 0.0102,0.6160 ± 0.0105,0.6160 ± 0.0105,0.0395 ± 0.0202,0.9441 ± 0.0281,0.1254 ± 0.0122
HC with fairness constraints and same size as original dataset lambda = 2.0,xgboost,0.6437 ± 0.0020,0.8247 ± 0.0111,0.7230 ± 0.0054,0.6394 ± 0.0041,0.6394 ± 0.0041,0.0806 ± 0.0172,0.8929 ± 0.0216,0.1366 ± 0.0201
HC with fairness constraints and same size as original dataset lambda = 2.0,mlp,0.6266 ± 0.0072,0.7506 ± 0.0688,0.6812 ± 0.0260,0.6071 ± 0.0055,0.6071 ± 0.0055,0.0265 ± 0.0168,0.9583 ± 0.0302,0.0940 ± 0.0281
HC with fairness constraints and double the size of original dataset lambda = 2.0,logistic_regression,0.6607 ± 0.0027,0.7312 ± 0.0041,0.6942 ± 0.0014,0.6411 ± 0.0022,0.6411 ± 0.0022,0.1321 ± 0.0176,0.8085 ± 0.0229,0.1881 ± 0.0198
