sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and double the size of original dataset lambda = 8.0,mlp,0.8776 ± 0.0062,0.9415 ± 0.0141,0.9084 ± 0.0092,0.9646 ± 0.0072,0.9646 ± 0.0072,0.0299 ± 0.0068,0.6913 ± 0.0662,0.0317 ± 0.0192
HC with fairness constraints and equal number of class 1 and class 0 lambda = 8.0,logistic_regression,0.7760 ± 0.0064,0.9602 ± 0.0000,0.8583 ± 0.0039,0.9671 ± 0.0005,0.9671 ± 0.0005,0.0057 ± 0.0017,0.9492 ± 0.0145,0.0577 ± 0.0018
HC with fairness constraints and equal number of class 1 and class 0 lambda = 8.0,random_forest,0.6597 ± 0.0263,0.9648 ± 0.0073,0.7831 ± 0.0165,0.9589 ± 0.0012,0.9589 ± 0.0012,0.0386 ± 0.0063,0.7567 ± 0.0353,0.0927 ± 0.0070
HC with fairness constraints and equal number of class 1 and class 0 lambda = 8.0,xgboost,0.6996 ± 0.0225,0.9659 ± 0.0074,0.8112 ± 0.0127,0.9634 ± 0.0016,0.9634 ± 0.0016,0.0115 ± 0.0049,0.9102 ± 0.0377,0.0637 ± 0.0059
HC with fairness constraints and equal number of class 1 and class 0 lambda = 8.0,mlp,0.6201 ± 0.0506,0.9727 ± 0.0127,0.7559 ± 0.0344,0.9579 ± 0.0041,0.9579 ± 0.0041,0.0550 ± 0.0246,0.7098 ± 0.0968,0.1094 ± 0.0249
HC with fairness constraints and equal number of protected attribute lambda = 8.0,logistic_regression,0.7760 ± 0.0064,0.9602 ± 0.0000,0.8583 ± 0.0039,0.9671 ± 0.0005,0.9671 ± 0.0005,0.0057 ± 0.0017,0.9492 ± 0.0145,0.0577 ± 0.0018
HC with fairness constraints and equal number of protected attribute lambda = 8.0,random_forest,0.6597 ± 0.0263,0.9648 ± 0.0073,0.7831 ± 0.0165,0.9589 ± 0.0012,0.9589 ± 0.0012,0.0386 ± 0.0063,0.7567 ± 0.0353,0.0927 ± 0.0070
HC with fairness constraints and equal number of protected attribute lambda = 8.0,xgboost,0.6996 ± 0.0225,0.9659 ± 0.0074,0.8112 ± 0.0127,0.9634 ± 0.0016,0.9634 ± 0.0016,0.0115 ± 0.0049,0.9102 ± 0.0377,0.0637 ± 0.0059
HC with fairness constraints and equal number of protected attribute lambda = 8.0,mlp,0.6729 ± 0.0475,0.9636 ± 0.0083,0.7913 ± 0.0313,0.9595 ± 0.0021,0.9595 ± 0.0021,0.0307 ± 0.0075,0.7972 ± 0.0361,0.0836 ± 0.0072
HC with fairness constraints and same size as original dataset lambda = 9.0,logistic_regression,0.8994 ± 0.0010,0.9602 ± 0.0000,0.9288 ± 0.0005,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0451 ± 0.0006,0.5421 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 9.0,random_forest,0.8836 ± 0.0060,0.9568 ± 0.0011,0.9187 ± 0.0030,0.9725 ± 0.0004,0.9725 ± 0.0004,0.0411 ± 0.0025,0.5860 ± 0.0263,0.0316 ± 0.0176
HC with fairness constraints and same size as original dataset lambda = 9.0,xgboost,0.8930 ± 0.0023,0.9574 ± 0.0031,0.9240 ± 0.0014,0.9733 ± 0.0015,0.9733 ± 0.0015,0.0471 ± 0.0024,0.5255 ± 0.0243,0.0348 ± 0.0269
HC with fairness constraints and same size as original dataset lambda = 9.0,mlp,0.8834 ± 0.0060,0.9551 ± 0.0033,0.9178 ± 0.0031,0.9716 ± 0.0016,0.9716 ± 0.0016,0.0413 ± 0.0032,0.5835 ± 0.0330,0.0290 ± 0.0156
HC with fairness constraints and double the size of original dataset lambda = 9.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 9.0,random_forest,0.8861 ± 0.0043,0.9591 ± 0.0014,0.9212 ± 0.0023,0.9738 ± 0.0007,0.9738 ± 0.0007,0.0414 ± 0.0023,0.5829 ± 0.0232,0.0296 ± 0.0162
HC with fairness constraints and double the size of original dataset lambda = 9.0,xgboost,0.8927 ± 0.0032,0.9591 ± 0.0014,0.9247 ± 0.0016,0.9741 ± 0.0007,0.9741 ± 0.0007,0.0428 ± 0.0015,0.5664 ± 0.0156,0.0288 ± 0.0171
HC with fairness constraints and double the size of original dataset lambda = 9.0,mlp,0.8779 ± 0.0087,0.9597 ± 0.0011,0.9170 ± 0.0048,0.9736 ± 0.0008,0.9736 ± 0.0008,0.0369 ± 0.0048,0.6291 ± 0.0485,0.0434 ± 0.0012
HC with fairness constraints and equal number of class 1 and class 0 lambda = 9.0,logistic_regression,0.7235 ± 0.0058,0.9602 ± 0.0000,0.8252 ± 0.0038,0.9629 ± 0.0005,0.9629 ± 0.0005,0.0918 ± 0.0059,0.5210 ± 0.0166,0.1477 ± 0.0061
HC with fairness constraints and equal number of class 1 and class 0 lambda = 9.0,random_forest,0.6419 ± 0.0056,0.9602 ± 0.0000,0.7694 ± 0.0041,0.9550 ± 0.0006,0.9550 ± 0.0006,0.1117 ± 0.0065,0.4990 ± 0.0148,0.1677 ± 0.0067
HC with fairness constraints and equal number of class 1 and class 0 lambda = 9.0,xgboost,0.7130 ± 0.0131,0.9602 ± 0.0000,0.8183 ± 0.0087,0.9620 ± 0.0012,0.9620 ± 0.0012,0.0472 ± 0.0144,0.7025 ± 0.0714,0.1008 ± 0.0151
HC with fairness constraints and equal number of class 1 and class 0 lambda = 9.0,mlp,0.6598 ± 0.0241,0.9602 ± 0.0000,0.7819 ± 0.0171,0.9568 ± 0.0026,0.9568 ± 0.0026,0.0995 ± 0.0244,0.5312 ± 0.0612,0.1552 ± 0.0254
HC with fairness constraints and equal number of protected attribute lambda = 9.0,logistic_regression,0.7235 ± 0.0058,0.9602 ± 0.0000,0.8252 ± 0.0038,0.9629 ± 0.0005,0.9629 ± 0.0005,0.0918 ± 0.0059,0.5210 ± 0.0166,0.1477 ± 0.0061
HC with fairness constraints and equal number of protected attribute lambda = 9.0,random_forest,0.6419 ± 0.0056,0.9602 ± 0.0000,0.7694 ± 0.0041,0.9550 ± 0.0006,0.9550 ± 0.0006,0.1117 ± 0.0065,0.4990 ± 0.0148,0.1677 ± 0.0067
HC with fairness constraints and equal number of protected attribute lambda = 9.0,xgboost,0.7130 ± 0.0131,0.9602 ± 0.0000,0.8183 ± 0.0087,0.9620 ± 0.0012,0.9620 ± 0.0012,0.0472 ± 0.0144,0.7025 ± 0.0714,0.1008 ± 0.0151
HC with fairness constraints and equal number of protected attribute lambda = 9.0,mlp,0.6717 ± 0.0124,0.9591 ± 0.0023,0.7900 ± 0.0083,0.9575 ± 0.0013,0.9575 ± 0.0013,0.0872 ± 0.0210,0.5621 ± 0.0639,0.1430 ± 0.0211
